channel,date,color
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Green
ABC,2017_10_03,Red
ABC,2017_10_03,Red
ABC,2017_10_03,Red
ABC,2017_10_03,Red
ABC,2017_10_03,Red
ABC,2017_10_03,Red
